gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper,,gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper
-0.813970327,1.08663404,1.537894964,-0.486126095,-0.453913301,-0.308772802,-0.679929376,0.047636811,0.242012307,0.270276904,-0.135723203,-0.563590527,0.799010992,0.159769803,0,,-0.813970327,1.08663404,1.537894964,-0.486126095,-0.453913301,-0.308772802,-0.679929376,0.047636811,0.242012307,0.270276904,-0.135723203,-0.563590527,0.799010992,0.159769803,0
-0.729326665,1.023051858,1.49493444,-0.534185708,-0.48433122,-0.170445144,-0.632135093,0.067599848,0.230720758,0.300479263,-0.089463621,-0.491223663,0.815865159,0.271495849,-0.136967883,,-0.813970327,1.08663404,1.537894964,-0.486125588,-0.453913003,-0.308773011,-0.679929912,0.047636811,0.242012307,0.270276904,-0.135723203,-0.563590527,0.799010992,0.159769803,0
-0.747971475,1.017745495,1.53186214,-0.543280065,-0.465137005,-0.115285717,-0.653550327,0.069854021,0.20739086,0.321251988,-0.103365541,-0.46766001,0.797488213,0.333552301,-0.088284135,,-0.804978609,1.080762982,1.542474031,-0.5034374,-0.437787712,-0.287300289,-0.687278688,0.061249379,0.233103201,0.278723091,-0.166619599,-0.553342521,0.787795126,0.213140503,0
-0.764075577,1.003849387,1.551006317,-0.553069115,-0.444780886,-0.064209573,-0.663444519,0.069691204,0.183837995,0.333324641,-0.117853001,-0.440451294,0.782460272,0.381990522,-0.049456526,,-0.754846275,1.016811967,1.572427034,-0.578738689,-0.404833496,-0.069921307,-0.704473376,0.098393738,0.182263404,0.323609799,-0.186418205,-0.452555388,0.763514876,0.421291798,0
-0.779946506,0.988971531,1.565243721,-0.564150929,-0.426966816,-0.020619771,-0.669049442,0.066295519,0.163874,0.339947551,-0.13306658,-0.415791422,0.769582391,0.422423184,-0.014262149,,-0.739999473,0.978987277,1.597859025,-0.633530915,-0.415197402,0.01336724,-0.652741611,0.107961401,0.154857904,0.348649591,-0.132619694,-0.438466012,0.743106604,0.4878034,0
-0.794559836,0.976038098,1.577532172,-0.575110435,-0.411513805,0.015816525,-0.673093319,0.061375726,0.147917673,0.343277305,-0.148456618,-0.394855827,0.758034766,0.456709534,0.018153427,,-0.752971411,0.977998972,1.597530961,-0.585184813,-0.501197278,0.003178869,-0.637455881,0.102848597,0.151605994,0.351015896,-0.076435529,-0.410276204,0.789744496,0.449593991,0
-0.80735743,0.965343118,1.588041425,-0.585060418,-0.397845119,0.046230249,-0.676560521,0.055899482,0.135348976,0.34459132,-0.163359091,-0.377280533,0.747431934,0.485948712,0.047899455,,-0.753055274,0.977995276,1.597511053,-0.584871173,-0.501738489,0.003078495,-0.637318671,0.102848597,0.151605994,0.351015896,-0.076435357,-0.410276085,0.789744496,0.449593902,0
-0.818152905,0.956280529,1.596446872,-0.593638897,-0.385476917,0.07179305,-0.679644942,0.050323021,0.125356585,0.344640583,-0.177329868,-0.362407595,0.737528682,0.510888577,0.07506144,,-0.75991118,0.965274692,1.596143007,-0.627694786,-0.457752794,0.134867102,-0.615038812,0.091109224,0.149247602,0.355571985,-0.110822998,-0.330754608,0.726661801,0.591846526,0
-0.826972604,0.948223293,1.602613807,-0.600780427,-0.37410906,0.093472205,-0.682285428,0.044879995,0.117264464,0.343882799,-0.19014959,-0.349669784,0.728192031,0.532106459,0.099735171,,-0.770935118,0.92375809,1.600208044,-0.604480982,-0.387380302,0.210338697,-0.663548887,0.080227263,0.117519997,0.361603409,-0.181374297,-0.278315991,0.721745908,0.607228518,0
-0.833983421,0.940776169,1.606688738,-0.606578052,-0.363587022,0.111995004,-0.684415519,0.039702494,0.110586144,0.342621088,-0.201755911,-0.338655591,0.719382524,0.550108075,0.122031413,,-0.782842815,0.90490073,1.609740019,-0.595464528,-0.401513398,0.212662607,-0.662558794,0.068428993,0.09948796,0.371560007,-0.168134898,-0.27268061,0.729751885,0.60401839,0
-0.839430809,0.933751583,1.608994484,-0.611202657,-0.35383901,0.127896413,-0.686030388,0.034863651,0.104985945,0.341066867,-0.212177798,-0.329074502,0.71110934,0.565354824,0.14208515,,-0.796079993,0.894129217,1.622398973,-0.594496012,-0.399284214,0.234767899,-0.657290816,0.056336582,0.091881096,0.385422587,-0.169925407,-0.254963994,0.72219491,0.620123625,0
-0.84358263,0.927084744,1.609908342,-0.614850402,-0.344829053,0.141579121,-0.687177181,0.030397145,0.100230478,0.339367479,-0.221488908,-0.32071349,0.703392148,0.578261137,0.16005303,,-0.80681318,0.883847773,1.632307053,-0.589568973,-0.397713304,0.2406165,-0.660557687,0.04599613,0.082368731,0.394798189,-0.173094407,-0.248553693,0.72445792,0.61920929,0
