gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper,,gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper
-0.813970327,1.08663404,1.537894964,-0.486126095,-0.453913301,-0.308772802,-0.679929376,0.047636811,0.242012307,0.270276904,-0.135723203,-0.563590527,0.799010992,0.159769803,0,,-0.813970327,1.08663404,1.537894964,-0.486126095,-0.453913301,-0.308772802,-0.679929376,0.047636811,0.242012307,0.270276904,-0.135723203,-0.563590527,0.799010992,0.159769803,0
-0.199442193,0.198679373,0.32567364,-0.140305176,-0.068959989,-0.007743902,-0.166068345,-0.008775206,0.043804433,0.078550071,-0.040790897,-0.087855831,0.123423122,0.072117634,0.003914381,,-0.813970327,1.08663404,1.537894964,-0.486125588,-0.453913003,-0.308773011,-0.679929912,0.047636811,0.242012307,0.270276904,-0.135723203,-0.563590527,0.799010992,0.159769803,0
-0.256896168,0.258381814,0.430481046,-0.185456291,-0.082170308,0.011411048,-0.208110571,-0.008474872,0.047898777,0.094629414,-0.06223942,-0.105783127,0.166331157,0.128661916,0.05847175,,-0.804978609,1.080762982,1.542474031,-0.5034374,-0.437787712,-0.287300289,-0.687278688,0.061249379,0.233103201,0.278723091,-0.166619599,-0.553342521,0.787795126,0.213140503,0
-0.312417984,0.313090056,0.528239906,-0.228048995,-0.092795588,0.029913051,-0.250706255,-0.009863292,0.050983418,0.10871198,-0.086672939,-0.12279512,0.207200631,0.181746453,0.112656251,,-0.754846275,1.016811967,1.572427034,-0.578738689,-0.404833496,-0.069921307,-0.704473376,0.098393738,0.182263404,0.323609799,-0.186418205,-0.452555388,0.763514876,0.421291798,0
-0.365207911,0.364089429,0.619815648,-0.26858142,-0.101200595,0.04564422,-0.293067127,-0.012387359,0.053569533,0.121149302,-0.112609886,-0.139417037,0.244677261,0.22981815,0.163240001,,-0.739999473,0.978987277,1.597859025,-0.633530915,-0.415197402,0.01336724,-0.652741611,0.107961401,0.154857904,0.348649591,-0.132619694,-0.438466012,0.743106604,0.4878034,0
-0.415923119,0.413005829,0.707088172,-0.30787164,-0.107884325,0.058626611,-0.335184902,-0.015550743,0.056067526,0.132363796,-0.13970463,-0.156327158,0.279504269,0.273581952,0.207662851,,-0.752971411,0.977998972,1.597530961,-0.585184813,-0.501197278,0.003178869,-0.637455881,0.102848597,0.151605994,0.351015896,-0.076435529,-0.410276204,0.789744496,0.449593991,0
-0.464893907,0.460609883,0.790985823,-0.346212029,-0.11317756,0.069167934,-0.376867145,-0.018944902,0.058527835,0.142517269,-0.16763328,-0.173736066,0.312363893,0.313807577,0.243342951,,-0.753055274,0.977995276,1.597511053,-0.584871173,-0.501738489,0.003078495,-0.637318671,0.102848597,0.151605994,0.351015896,-0.076435357,-0.410276085,0.789744496,0.449593902,0
-0.511988878,0.506858408,0.871570408,-0.383384675,-0.117369711,0.077596359,-0.417716086,-0.022252882,0.060843308,0.151694566,-0.195897907,-0.191442177,0.343598604,0.351008296,0.267995656,,-0.75991118,0.965274692,1.596143007,-0.627694786,-0.457752794,0.134867102,-0.615038812,0.091109224,0.149247602,0.355571985,-0.110822998,-0.330754608,0.726661801,0.591846526,0
-0.556770682,0.55124402,0.948390484,-0.418884009,-0.120768942,0.084258743,-0.45719853,-0.025225479,0.062886856,0.160012051,-0.223843724,-0.209003955,0.373274237,0.385463953,0.280222207,,-0.770935118,0.92375809,1.600208044,-0.604480982,-0.387380302,0.210338697,-0.663548887,0.080227263,0.117519997,0.361603409,-0.181374297,-0.278315991,0.721745908,0.607228518,0
-0.598662078,0.593095243,1.020745873,-0.452130944,-0.123679675,0.089507081,-0.494717598,-0.027675295,0.064564705,0.167627618,-0.250747591,-0.225899652,0.401274681,0.417276472,0.279844135,,-0.782842815,0.90490073,1.609740019,-0.595464528,-0.401513398,0.212662607,-0.662558794,0.068428993,0.09948796,0.371560007,-0.168134898,-0.27268061,0.729751885,0.60401839,0
-0.637101889,0.631778181,1.087885499,-0.482621759,-0.126358852,0.093675457,-0.529693186,-0.029487109,0.065833576,0.174705088,-0.27592361,-0.241650537,0.427391291,0.446435511,0.267935395,,-0.796079993,0.894129217,1.622398973,-0.594496012,-0.399284214,0.234767899,-0.657290816,0.056336582,0.091881096,0.385422587,-0.169925407,-0.254963994,0.72219491,0.620123625,0
-0.671671808,0.666822433,1.149173737,-0.510014713,-0.128988817,0.097063296,-0.561642051,-0.030626087,0.066703975,0.181376263,-0.298816174,-0.255899042,0.451404393,0.472890288,0.24662821,,-0.80681318,0.883847773,1.632307053,-0.589568973,-0.397713304,0.2406165,-0.660557687,0.04599613,0.082368731,0.394798189,-0.173094407,-0.248553693,0.72445792,0.61920929,0
-0.702172875,0.697986066,1.204211354,-0.534164369,-0.131672487,0.099923015,-0.590242505,-0.031134695,0.067233592,0.187720433,-0.319060892,-0.268442243,0.473147541,0.496612549,0.218760356,,-0.816876829,0.876938105,1.639359951,-0.582323313,-0.395392686,0.247996405,-0.665629089,0.036939859,0.076743603,0.403537393,-0.177289903,-0.2369681,0.726937413,0.61965853,0
-0.728642046,0.725264966,1.252896905,-0.555114567,-0.134443194,0.102452137,-0.61536628,-0.031116275,0.06751173,0.193763539,-0.336507499,-0.279228598,0.492546886,0.517638028,0.187432498,,-0.82272929,0.874158978,1.645429015,-0.577784479,-0.395697802,0.257333487,-0.665859282,0.032070819,0.074715316,0.408206791,-0.178802803,-0.2290833,0.727135718,0.621951878,0
-0.751318276,0.748856187,1.295420766,-0.573062122,-0.137281582,0.104790114,-0.637074947,-0.030710293,0.067638807,0.199491486,-0.351204634,-0.288330644,0.509630382,0.536081314,0.15556775,,-0.823390484,0.861957371,1.646008015,-0.571069479,-0.391307294,0.25375551,-0.675549328,0.03099406,0.061671078,0.406943709,-0.190207705,-0.228466302,0.731448114,0.61368382,0
-0.77057904,0.769096792,1.3322047,-0.588305414,-0.140135169,0.107021809,-0.655584931,-0.030065944,0.067707367,0.204868421,-0.363358051,-0.295906395,0.524514854,0.552127838,0.12556617,,-0.823949993,0.857207775,1.644297957,-0.568556607,-0.39029789,0.250532001,-0.679444611,0.030123049,0.058604062,0.406017512,-0.192150503,-0.228335604,0.732785285,0.611528277,0
-0.786871076,0.786394536,1.363818645,-0.601191998,-0.142936081,0.10918694,-0.671217322,-0.029319912,0.067788683,0.209853798,-0.37327382,-0.302159846,0.537380397,0.56601131,0.099115588,,-0.825608373,0.855056226,1.64812696,-0.566003501,-0.392676502,0.252234697,-0.679575682,0.0289892,0.056717101,0.41018641,-0.189853102,-0.225295603,0.734630227,0.611159682,0
-0.80065012,0.80117017,1.390893102,-0.61207521,-0.145616412,0.11129234,-0.684343994,-0.028581962,0.067927375,0.214414045,-0.381303251,-0.307308167,0.548440278,0.577985883,0.077161454,,-0.825975716,0.854228973,1.64972198,-0.564336479,-0.398344189,0.248076499,-0.679194212,0.028817531,0.055299941,0.411613196,-0.185890898,-0.227305502,0.738729119,0.6066764,0
-0.812339127,0.813816249,1.414051771,-0.621284425,-0.148118034,0.113324262,-0.695343435,-0.027928872,0.068142526,0.218528777,-0.387797207,-0.311557621,0.557916522,0.588301837,0.059997924,,-0.824541688,0.852126181,1.649384022,-0.570845485,-0.398052514,0.252358109,-0.672313273,0.030803559,0.052817579,0.411554903,-0.180473,-0.229087904,0.730413079,0.617612422,0
-0.822304845,0.824675262,1.43386662,-0.629107475,-0.150398165,0.115258627,-0.704568267,-0.027405232,0.068433024,0.222191721,-0.393074989,-0.31509015,0.56602031,0.597188413,0.047423866,,-0.825791895,0.851136804,1.64991498,-0.595480025,-0.382318497,0.275321394,-0.650718629,0.03001767,0.054245949,0.412962705,-0.173528403,-0.230169907,0.699773192,0.653626323,0
-0.830848873,0.834031284,1.450834632,-0.635784924,-0.152430758,0.117068984,-0.712327659,-0.027028492,0.068784446,0.225410029,-0.397407919,-0.318056166,0.572942853,0.604845226,0.038913675,,-0.827472687,0.852076888,1.648203969,-0.603138208,-0.38047561,0.274479985,-0.645076275,0.02810538,0.054409381,0.410719007,-0.174015597,-0.235597,0.700167179,0.651136279,0
-0.838210762,0.842113197,1.465374351,-0.641510129,-0.154205233,0.118731372,-0.718881369,-0.026795691,0.069175482,0.228201419,-0.40101406,-0.32057482,0.578849733,0.611440122,0.033770595,,-0.827989221,0.852256298,1.651550055,-0.602775395,-0.381287187,0.27847299,-0.643221974,0.02802581,0.055469871,0.41487959,-0.170918897,-0.232917607,0.698470592,0.654732823,0
-0.844576001,0.849102139,1.477829814,-0.646436095,-0.155724108,0.120227993,-0.7244398,-0.026690645,0.069583111,0.230591923,-0.404060811,-0.322736502,0.583882749,0.617112517,0.031246146,,-0.827877104,0.853231788,1.652240992,-0.603802025,-0.381646693,0.27853331,-0.642018974,0.028019611,0.055677831,0.415030599,-0.170940503,-0.233154401,0.698474824,0.65463841,0
-0.850086808,0.85514164,1.488485694,-0.650681674,-0.156999692,0.121548407,-0.72917068,-0.026689747,0.069986127,0.232613593,-0.406671971,-0.324607879,0.588161111,0.621978164,0.03062403,,-0.827831209,0.853207886,1.651986003,-0.604182124,-0.381797612,0.278457999,-0.641604185,0.02816969,0.055494189,0.414184004,-0.169841096,-0.234230295,0.697867811,0.655187488,0
